অবসর, অবকাশ
ছুটি, অবকাশ
ফুরসত, অবকাশ
সময়, অবকাশ
সুযোগ, অবকাশ
অদ্ভুত, অপূর্ব
আজব, অপূর্ব
আশ্চর্য, অপূর্ব
তাজ্জব, অপূর্ব
চমৎকার, অপূর্ব
আচমকা, অকস্মাৎ
আকস্মিক, অকস্মাৎ
সহসা, অকস্মাৎ
হঠাৎ, অকস্মাৎ
অসময়, অকাল
অবেলা, অকাল
অদিন, অকাল
কুদিন, অকাল
দুঃসময়, অকাল
অদম্য, অক্লান্ত
ক্লান্তিহীন, অক্লান্ত
নিরলস, অক্লান্ত
পরিশ্রমী, অক্লান্ত
অসমর্থ, অক্ষম
অপটু, অক্ষম
অদক্ষ, অক্ষম
অযোগ্য, অক্ষম
দুর্বল, অক্ষম
পণ, অঙ্গীকার
প্রতিশ্রুতি, অঙ্গীকার
প্রতিজ্ঞা, অঙ্গীকার
শপথ, অঙ্গীকার
সংকল্প, অঙ্গীকার
অজ্ঞান, অচেতন
অসাড়, অচেতন
জ্ঞানশূন্য, অচেতন
জ্ঞানহীন, অচেতন
বেহুঁশ, অচেতন
অশিক্ষিত, অজ্ঞ
অজ্ঞানী, অজ্ঞ
মূর্খ, অজ্ঞ
নির্বোধ, অজ্ঞ
বেকুব, অজ্ঞ
অনেক, অতিরিক্ত
প্রচুর, অতিরিক্ত
পর্যাপ্ত, অতিরিক্ত
বেশি, অতিরিক্ত
মেলা, অতিরিক্ত
গতদিন, অতীত
তৎকাল, অতীত
পূর্ব, অতীত
সেকাল, অতীত
পূর্বকাল, অতীত
উপদ্রব, অত্যাচার
নিপীড়ন, অত্যাচার
নির্যাতন, অত্যাচার
জুলুম, অত্যাচার
লাঞ্ছনা, অত্যাচার
অগোচর, অদৃশ্য
অদেখা, অদৃশ্য
অদৃষ্ট, অদৃশ্য
অলক্ষ্য, অদৃশ্য
না দেখা, অদৃশ্য
সভা, অধিবেশন
সমিতি, অধিবেশন
সমাবেশ, অধিবেশন
মিটিং, অধিবেশন
পাঠ, অধ্যয়ন
পঠন, অধ্যয়ন
