অংশ,পূর্ণ
অকপট,কপট
অকর্মণ্য,কর্মঠ
অকাল,সুকাল
অগ্র,পশ্চাৎ
অগ্রজ,অনুজ
অসীম,সসীম
অগণ্য,নগণ্য
অগাধ,অগাধ
অগ্নি,জল
অঙ্কুর,ফল
অঙ্গীকার,অস্বীকার
অচল,সচল
অজ,তেজ
অজ্ঞ,বিজ্ঞ
অঞ্জলি,বর্জন
অতল,বিতল
অতি,অল্প
অতিবৃষ্টি,অনাবৃষ্টি
অতীত,ভবিষ্যৎ
অত্যধিক,অল্প
অদৃষ্ট,দৃষ্ট
অদ্য,কল্য
অধঃ,ঊর্ধ্ব
অধঃপতন,উন্নতি
অধম,উত্তম
অধমর্ণ,উত্তমর্ণ
অধিকার,অনধিকার
অধীন,স্বাধীন
অধীস,নিম্ন
অধুনা,তদানীন্তন
অধ্যবসায়,অনধ্যবসায়
অনন্ত,শান্ত
অনশন,অশন
অনাসক্ত,আসক্ত
অনাহুত,আহুত
অনিচ্ছা,ইচ্ছা
অনিল,অনল
অনুকূল,প্রতিকূল
অনুগ্রহ,নিগ্রহ
অনুজ,অগ্রজ
অনুতাপ,প্রীত
অনুরক্ত,বিরক্ত
অনুরাগ,বিরাগ
অনুরোধ,আদেশ
অনুলোম,প্রতিলোম
অনেক,এক
অন্ত,আদি
 অন্তর,বাহির
অন্তরঙ্গ,বহিরঙ্গ
অন্তরে,বাহিরে
অন্ধ,চক্ষুষ্মান
অন্ধকার,আলোক
অন্য,নিজ
অপকার,উপকার
অপচয়,সঞ্চয়
অপমান,সম্মান
অপরাহ্ণ,পূর্বাহ্ণ
অপরাধী,নিরপরাধ
অপুষ্টি,পুষ্টি
অপেক্ষা,উপেক্ষা
অপ্রকাশিত,প্রকাশিত
অপ্রস্তুত,প্রস্তুত
অবগত,অনবগত
অবগণনা,গণনা
অবনত,উন্নত
অবনতি,উন্নতি
অবলা,সবলা
অবশেষ,নিঃশেষ
অবসাদ,প্রফুল্লতা
অবস্থিষ্ণু,বর্ধিষ্ণু
অবাধ্য,বাধ্য
