
ভাবী,ভবিষ্যতে হবে এমন
ভেতো,ভাত যাদের প্রধান খাদ্য
ভাজক,ভাগ করে যে
হাভাত,ভাতের অভাব
হাভাতে,ভাতের অভাব আছে যার
সৌজন্য,ভদ্রসুলভ আচরণ
নির্ভীক,ভয় নেই যার
ভৃত্য,ভরণের যোগ্য
ভবিতব্য,ভবিষ্যতে যা ঘটবে
দূরদর্শী,ভবিষ্যৎ চিন্তা করে কাজ করে যে
বুভুক্ষা,ভক্ষণের ইচ্ছা
বুভুক্ষু,ভক্ষণে ইচ্ছুক
ভীম,ভয় পাওয়া যায় যা থেকে
সুরঙ্গ,ভূগর্ভস্থ পথ
অভিকর্ষ,ভূকেন্দ্রের দিকে জড় পদার্থের আকর্ষণ
কাপুরুষ,ভীরু যে পুরুষ
দুর্ভিক্ষ,ভিক্ষার অভাব
হতভাগ্য,ভাগ্য হত হয়েছে যার
লটারী,ভাগ্য পরীক্ষার খেলা
বিবেক,ভালো-মন্দ ন্যায়-অন্যায় বিচার জ্ঞান
অভাবনীয়,ভাবা হয় না যা
বিভ্রমীষা,ভ্রমণ করার ইচ্ছা
গুঞ্জন,ভ্রমরের শব্দ
ভৌগোলিক,ভূগোল সম্বন্ধীয়
ভস্মীভূত,ভস্মে পরিণত হয়েছে যা
সন্নিবেশ,ভেতরে প্রবেশ
নির্বাণ,ভোগ যন্ত্রণা থেকে নিষ্কৃতি লাভ
অন্তর্ঘাত,ভিতর থেকে গোপনে ক্ষতিসাধন
ভোরাই,ভোরে গাওয়ার উপযুক্ত গান
ভাগনেয়,ভগ্নিনীর পুত্র
ভূচর,ভূমিতে চরে যে
ভ্রাতুষ্পুত্র,ভ্রাতার পুত্র সন্তান
ভাগীরথী,ভগীরথের আনীত নদী
ভগ্নশাখা,ভগ্ন শাখা যার
শুভ্রা,শুভ্র নামায় যে
সৌভ্রাত্র,ভ্রাতাদের মধ্যে সদ্ভাব
ভোগতৃষ্ণা,ভোগ করার প্রবল ইচ্ছা
ভ্রাম্যমাণ,ভ্রমণ করে বেড়ায় এমন
অবশ্যম্ভাবী,ভবিষ্যতে ঘটবেই এমন
ভবিষ্যৎদ্রষ্টা,ভবিষ্যতে কি ঘটবে তা পূর্বেই বলতে পারেন যিনি
ভবিষ্যৎবাণী,ভবিষ্যতে কি ঘটবে তা সম্পর্কে পূর্বেই উক্তি
ভাগ্যদেবতা,ভাগ্যকে নিয়ন্ত্রণ করেন যে দেবতা
পরিণামদর্শী,ভবিষ্যতে কি হবে দেখে যে
ভদ্রোচিত,ভদ্রলোক যে রকম ব্যবহার করেন
ভাড়র,ভাতের নেশা করে যে
অবিভাজ্য,ভাগ করা যায় না এমন
খোঁয়াড়,ভ্রাম্যমাণ পশুদেরকে আটকে রাখার স্থান
ভীষিত,ভয় দেখানো হয়েছে এমন
প্রমান্ধ,ভ্রান্তিবশত বুদ্ধি আচ্ছন্ন হয়েছে এমন
অতিমায়,মায়া থেকে মুক্ত
মর্মভেদী,মর্মকে ভেদ করে যা
মায়িক,মায়া জানেন যিনি
অমায়িক,মায়া বা ছল আশ্রয়ী নয় যিনি
অমর,মরে না যে
ঈপ্সিত,মনোগত ইচ্ছা
উদ্ভিদ,মাটি ভেদ করে যে ওঠে
করোটি,মাথার খুলি
ঘনশ্যাম,মেঘের মতো শ্যাম
জীমূতমন্ত্র,মেঘের ধ্বনি
প্রায়োপবেশন,মরণের জন্য অনশন
পেখম,ময়ূরের পুচ্ছ বিস্তার
মুমূর্ষু,মরতে বসেছে যে
মর্মান্তিক,মর্মে বেদনা দেয় যা
মধুবর্ষী,মধু বর্ষণ করে যে
मधुकর,মধু পান করে যে
মধুতরঙ্গিনী,মধু গুঞ্জন সম্পন্ন যে নারী
মোক্ষিণী,মুগ্ধ বা মনোযোগ দান করে যে
মৃতসঞ্জীবনী,মৃতকে পুনর্জীবিত করা যায় যা দ্বারা
মাহাত্ম্য,মহারাজাকে নিবেদন করা সংবাদপূর্ণ বিবরণের কারণ
মরণোন্মুখ,মরণ-ব্যাধিতে পীড়িত রোগী
মাটিকৈ,মাটির মতো রঙ যার
মীনাক্ষী,মাছের আকারের মতো চোখ যে নারীর
মনস্তাপ,মনোযোগের অভাবজনিত
গন্তব্যস্থল,মনোহর গন্তব্যস্থান
নিবেদনাই,মর্যাদা পেতে নেওয়ার যোগ্য
মতিরগ,মুক্তার গাঁথুনি
মহত্তর,মহারাজ মহত
মঞ্জরি,মুকুলের গুচ্ছ
শ্রদ্ধা,মরণোত্তর শ্রদ্ধা
ভ্রান্তি,মিথ্যা ধারণা
উপাসিতা,গভীর সাধনা
জোনাক,মুক্তার ন্যায় গুণের বিচার বিভেদ
মরণাশৌচ,মৃত দেহের সৎকার
মুক্তারত্নমালা,মুক্তার গাঁথুনি যা নারীর
মার্গ,মুখ চালানোর রাস্তা
মরণ,মুক্তার গুচ্ছ বা ছাতা
মুক্তিধন্য,মুক্তির দ্বারা পরিসীমিত আলোচনা
মনোবৃত্তি,মরণোত্তর মানসিক অবদানের জন্য দান
মরণবিমুখ,মরণের হতে বিরত
মুকুটরসনা,মুক্তার রসনা যার
মহিমান্বিত,মহিমা উপলব্ধি করে যে
কেকা,ময়ূরের ডাক
মঘ,মহারাজাদের অধিকার
মহাবীর,মাহু সি বীর
শ্মশান,মরণের গন্তব্যস্থান
মৃন্ময়/মৃণ্ময়,মৃত্তিকা দিয়ে তৈরি এমন
মনোহর,মনকে হরণ করে যে
লোকবিশেষ,মানুষের জাতির সাধারণ
মনোজ,মনে জন্মে যা
মানসিক,মনের ভাব
মৃৎশিল্পী,মাটি দিয়ে মিষ্টিকাম করে যে
মানসজ,মহা ম ম
মনস্কাম,মন অনন্য
স্মিতহাস্য,মৃদু হাসির সাহায্যে গঠিত
দশন,মরণ হওয়ার অভিযাত্রিকাকে নেশা অহিম অর্থ
সুগন্ধি,মধুর গন্ধ যুক্ত
মদ্যপ,মদ পান করে
নিৰ্ম্মক্ষিক,মাছি (মক্ষিকা) প্রবেশ করতে পারে না যেখানে
মোক্ষিণী,মুক্তা দাঁত যে নারীর
মাছধরা,মাছের খসা পিন
কেকা,ময়ূরের ডাক
মীনাক্ষী,মহাত্মার বংশ অধিক যারা
নির্মম,মমতা নেই যার
মহাযাত্রা,মহা যাত্রা যার
মেটে/মৃন্ময়,মাটি দিয়ে তৈরি
মনোরম,মম হরণ করা যা
মোক্ষার্থী,মোক্ষ পেতে যায়
মুক্তস্পর্শী,মুক্তা স্পর্শ করে যে
মধুপ,মধু পান করে যে
মুমূর্ষু,মরণের ভাব
মানী,মান আছে যার
মরণঘাতী,মরণোত্তর কষ্টের মত যার
মিতালি,মিতার ভাব
মুমূর্ষা,মরবার ইচ্ছা
মথিত,মথুন করা হয়েছে
মেথী,মিথ্যার ভাব
মরণচিহ্ন,মনে রাখা যোগ্য তথ্য
মরণহারী,মরণ করে যে
মুমুক্ষু,মুক্তি পেতে ইচ্ছুক
সুজন,মনোহরে ভ্রমণ করে যে
কানাকাটি,মাতার জন্য যে কান্না
